,address,city,state,zip,fld_zone,zone_subty,x,y,geocoder
1257,2463 PAIGE JANETTE DR,HARVEY,LA,70058,AE,nan,-90.08100795097693,29.85870871686318,arcgis
1258,1 HERITAGE LN,NEW ORLEANS,LA,70114,AE,nan,-90.0222877739101,29.923843396792154,arcgis
1259,7212 MELPOMENE DR,BAKER,LA,70714,AE,nan,-91.11964393924904,30.584764592621838,arcgis
1260,3713 TIMBER BLUFF LN,NEW ORLEANS,LA,70131,AE,nan,-89.9978452222412,29.897720441174584,arcgis
1261,6594 COVEVIEW CT,NEW ORLEANS,LA,70126,AE,nan,-90.01182288397654,30.02155409195528,arcgis
1265,1741 ROBIN DR,MARRERO,LA,70072,AE,nan,-90.11097535030491,29.87769628403602,arcgis
1266,1128 N HOWARD AVE,METAIRIE,LA,70003,AE,nan,-90.21701748958654,29.988289042370546,arcgis
1268,1640 SHADOW LAKE CT,HARVEY,LA,70058,AE,nan,-90.04177603406914,29.86173097969108,arcgis
1270,28725 HWY 441,HOLDEN,LA,70744,A,nan,-90.65237697709928,30.485671009163212,arcgis
1271,729 2ND AVE,HARVEY,LA,70058,AE,nan,-90.08431159429448,29.90011942568242,arcgis
1274,12311 N SALTZMAN RD,GUEYDAN,LA,70542,AE,nan,-92.47891767804569,29.99274448906623,arcgis
1275,3833 CHINKAPIN ST,HARVEY,LA,70058,AE,nan,-90.07442346311845,29.85371423412749,arcgis
1276,2138 LA QUINTA VIA,HARVEY,LA,70058,AE,nan,-90.053608850601,29.86620804754376,arcgis
1277,29460 HIGHWAY 22,SPRINGFIELD,LA,70462,AE,nan,-90.55285310864087,30.37214701546903,arcgis
1278,10200 FLOSSMOOR DR,NEW ORLEANS,LA,70127,AE,nan,-89.97770828659537,30.042899614219934,arcgis
1279,115 OLD RAILROAD RD,ERATH,LA,70533,AE,nan,-92.03200999999996,29.958825000000047,arcgis
1282,12205 CLANTON DR,WALKER,LA,70785,AE,nan,-90.88436433620954,30.526787638909653,arcgis
1283,4013 CALIFORNIA AVE,KENNER,LA,70065,AE,nan,-90.24345753260123,30.03007073422432,arcgis
1284,2205 DEERLICK LN,HARVEY,LA,70058,AE,nan,-90.07802717856966,29.86768171185056,arcgis
1285,27955 CARTER PURVIS ROAD,INDEPENDENCE,LA,70443,A,nan,-90.61904592002698,30.61175088426656,arcgis
1287,11920 MORRISON RD,NEW ORLEANS,LA,70128,AE,nan,-89.96457577215718,30.051501668082267,arcgis
1288,405 N SIBLEY ST,METAIRIE,LA,70003,AE,nan,-90.23175773687272,29.9826753884473,arcgis
1289,7410 NORTHGATE DR,NEW ORLEANS,LA,70128,AE,nan,-89.9669356969963,30.04902980292638,arcgis
1290,3001 INDIANA AVE,KENNER,LA,70065,AE,nan,-90.23616762377148,30.010544001129713,arcgis
1292,141 CLARA DR,AVONDALE,LA,70094,AE,nan,-90.20708770035165,29.90534151899875,arcgis
1293,15860 GAYLORD OAKS DR,WALKER,LA,70785,A,nan,-90.82211663519132,30.499414480523978,arcgis
1294,16 CARRIAGE LN,NEW ORLEANS,LA,70114,AE,nan,-90.0230231182757,29.92323763664961,arcgis
1295,7558 MERCIER ST,NEW ORLEANS,LA,70128,AE,nan,-89.97124206739073,30.04941113761131,arcgis
1296,177 ANNE DR,AVONDALE,LA,70094,AE,nan,-90.20576067744092,29.912655483890592,arcgis
1298,6900 CURRAN BLVD,NEW ORLEANS,LA,70126,AE,nan,-90.01307656523447,30.033977455475323,arcgis
1299,7560 BRANCH DR,NEW ORLEANS,LA,70128,AE,nan,-89.9609823664469,30.05570619835315,arcgis
1300,84 MARYWOOD CT,NEW ORLEANS,LA,70128,AE,nan,-89.96882095465843,30.050239730649775,arcgis
1301,144 NOEL DR,AVONDALE,LA,70094,AE,nan,-90.21170926849425,29.892733886434716,arcgis
1302,133 CLARA DR,AVONDALE,LA,70094,AE,nan,-90.2067509993011,29.90531197279005,arcgis
1303,3853 MIMOSA DR,NEW ORLEANS,LA,70131,AE,nan,-89.99688675161308,29.90402576974777,arcgis
1304,504 SADIE AVE,METAIRIE,LA,70003,AE,nan,-90.20663960380791,29.980614236546955,arcgis
1305,2711 PRANCER ST,NEW ORLEANS,LA,70131,AE,nan,-90.0113932276198,29.92597101718466,arcgis
1306,4835 CITRUS DR,NEW ORLEANS,LA,70127,AE,nan,-89.97488065155912,30.023342664364417,arcgis
1307,565 PAT DR,AVONDALE,LA,70094,AE,nan,-90.20606762273516,29.897431600791123,arcgis
1308,7521 CRESTMONT RD,NEW ORLEANS,LA,70126,AE,nan,-90.00932549592537,30.03334864509916,arcgis
1309,14038 KATHERINE AVE,BATON ROUGE,LA,70815,AE,nan,-91.02800149052777,30.45437034240662,arcgis
1312,700 S PERKINS FERRY RD,LAKE CHARLES,LA,70611,AE,nan,-93.23330075164938,30.289990743757247,arcgis
1313,408 INCARNATE WORD DR,KENNER,LA,70065,AE,nan,-90.26819051721516,30.014842660173283,arcgis
1314,4721 MARJORIE LN,NEW ORLEANS,LA,70122,AE,nan,-90.07712453141669,30.006413147787764,arcgis
1315,10120 CHEVY CHASE DR,NEW ORLEANS,LA,70127,AE,nan,-89.97734820003495,30.04135776313081,arcgis
1321,912 CLERMONT ST,BAKER,LA,70714,AE,nan,-91.13293696713305,30.580612574974367,arcgis
1322,42128 BROWN RD,PONCHATOULA,LA,70454,A,nan,-90.38016834207168,30.465830998696703,arcgis
1323,1537 LANCASTER DR,MARRERO,LA,70072,AE,nan,-90.13119434478278,29.88227108487964,arcgis
1324,101 BAYLOR PL,KENNER,LA,70065,AE,nan,-90.27419975505872,30.008810372095905,arcgis
1325,200 LIVINGSTON AVE,ARABI,LA,70032,AE,nan,-89.99545369762718,29.955881671028138,arcgis
1326,31631 LA HIGHWAY 1036,HOLDEN,LA,70744,AE,nan,-90.69661381889867,30.523003754090297,arcgis
1327,4048 N INDIGO DR,HARVEY,LA,70058,AE,nan,-90.08265180982774,29.852010151302498,arcgis
1328,4843- 4845FRANCIS DR,NEW ORLEANS,LA,70126,AE,nan,-90.0144986389272,30.01936406829365,arcgis
1329,2524 WYOMING DR,MARRERO,LA,70072,AE,nan,-90.10590170049385,29.843629379683968,arcgis
1330,2313-2315 CONGRESS ST,NEW ORLEANS,LA,70117,AE,nan,-90.03495911603557,29.979132986617792,arcgis
1332,5117 NW EVANGELINE TRWY,CARENCRO,LA,70520,AE,nan,-92.05322978648068,30.377939203929962,arcgis
1333,3765 W LOYOLA DR,KENNER,LA,70065,AE,nan,-90.2730405378496,30.031431913390502,arcgis
1336,153 JANET DR,AVONDALE,LA,70094,AE,nan,-90.21200905098209,29.893410340833164,arcgis
1337,7612 LADY GRAY ST,NEW ORLEANS,LA,70127,AE,nan,-89.9768160330024,30.04724403845482,arcgis
1338,431 JOHN HOPKINS DR,KENNER,LA,70065,AE,nan,-90.26629427925977,30.015701637610615,arcgis
1340,657 W MARLIN CT,TERRYTOWN,LA,70056,AE,nan,-90.0214595580573,29.901101826644084,arcgis
1341,3800 TAFT PARK,METAIRIE,LA,70002,AE,nan,-90.17065089669579,30.009023565803194,arcgis
1342,4024 PAIGE JANETTE DR,HARVEY,LA,70058,AE,nan,-90.08296805903454,29.860991653921587,arcgis
1344,236 JAMIE BLVD,WESTWEGO,LA,70094,AE,nan,-90.2018433111728,29.912647521082594,arcgis
1345,1704 LAGNEAUX RD,LAYAFETTE,LA,70506,A,nan,-92.12939781701638,30.142180030300423,arcgis
1346,2928 MAX DR,HARVEY,LA,70058,AE,nan,-90.07393840238176,29.861650555330147,arcgis
1347,2420 DEERWOOD CT,HARVEY,LA,70058,AE,nan,-90.07859446577666,29.862243407341815,arcgis
1350,3304 CHATEAU BLVD,KENNER,LA,70065,AE,nan,-90.25819945626803,30.017507099554617,arcgis
1351,125 ELAINE DR,AVONDALE,LA,70094,AE,nan,-90.20946455663511,29.89745318419178,arcgis
1352,3004 ROSETTA DR,CHALMETTE,LA,70043,AE,nan,-89.95631106788433,29.94450888452175,arcgis
1354,28324 GRAND TURK DR,DENHAM SPRINGS,LA,70726,AE,nan,-90.93619257720935,30.477739004640725,arcgis
1355,2661 W CATAWBA DR,HARVEY,LA,70058,AE,nan,-90.0792733999338,29.85324966714404,arcgis
1356,4758 CITRUS DR,NEW ORLEANS,LA,70127,AE,nan,-89.97476975898019,30.021658865745014,arcgis
1357,8720-8722 PALM ST,NEW ORLEANS,LA,70118,AE,nan,-90.11679423512744,29.968922571264606,arcgis
1358,23586 SOUTHPOINT DR,DENHAM SPRINGS,LA,70726,AE,nan,-90.91181062670039,30.41227491591697,arcgis
1359,905 HARRISON AVE,METAIRIE,LA,70005,AE,nan,-90.13304967905071,30.006995815787022,arcgis
1360,3611 W GRANDLAKE BLVD,KENNER,LA,70065,AE,nan,-90.27856429586126,30.027552978148478,arcgis
1363,30D RUE CHARDONNAY 30 D,KENNER,LA,70065,AE,nan,-90.23870499999998,30.019540000000063,arcgis
1364,110 N GOVERNOR MIRO DR,LAFAYETTE,LA,70506,AE,nan,-92.07915744375404,30.19012983897241,arcgis
1365,1618 D TERRACE HWY,BROUSSARD,LA,70518,A,nan,-91.87818337784988,30.131506556706203,arcgis
1367,3808 SUE KER DR,HARVEY,LA,70058,AE,nan,-90.070217340286,29.845761945399378,arcgis
1368,14348 KELLI DR,HAMMOND,LA,70401,AE,nan,-90.49367812950797,30.52158893110304,arcgis
1369,4638 ROSEMONT PL,NEW ORLEANS,LA,70126,AE,nan,-90.00012266915301,30.01767892856974,arcgis
1370,5912 LINDEN ST,BATON ROUGE,LA,70805,AE,nan,-91.1312921024539,30.48522798367088,arcgis
1371,1016-C JUDGE DUPRE RD,CECILIA,LA,70521,A,nan,-91.85241095342327,30.334115764281766,arcgis
1372,2125 BENJAMIN ST,ARABI,LA,70032,AE,nan,-89.98792839303601,29.969429205810727,arcgis
1373,621 CENTRAL AVE,WESTWEGO,LA,70094,AE,nan,-90.13606290811981,29.902927746568235,arcgis
1374,14102 FOREST HEIGHTS SUBD RD,GONZALES,LA,70737,A,nan,-90.894958622032,30.27143497167583,arcgis
1375,4754-4756 DODT AVE,NEW ORLEANS,LA,70126,AE,nan,-89.99172282870475,30.020641135061457,arcgis
1376,6205 LEMON RD,SLAUGHTER,LA,70777,A,nan,-91.13348380249622,30.708171478802413,arcgis
1379,5241 PAGE ST,MARRERO,LA,70072,AE,nan,-90.10556935803292,29.867770685752706,arcgis
1380,4012 N DELLS ST,HARVEY,LA,70058,AE,nan,-90.0833327556417,29.86308805172479,arcgis
1382,3115 LA HWY 330,ERATH,LA,70533,VE,nan,-92.02248411277665,29.88279341010571,arcgis
1383,2152 COLONIAL DR,LA PLACE,LA,70068,AE,nan,-90.49272217345082,30.092616705267034,arcgis
1384,132 ANNE DR,AVONDALE,LA,70094,AE,nan,-90.2035457595268,29.912592871073944,arcgis
1385,12555 HIGHWAY 99,WELSH,LA,70591,A,nan,-92.81729197956902,30.210493206662804,arcgis
1386,27825 MARCEL RD,GUEYDAN,LA,70542,AE,nan,-92.44397304942959,29.96287623792808,arcgis
1387,7700 LEE STATION RD,NEW IBERIA,LA,70560,AE,nan,-91.90943773459162,29.94017327201565,arcgis
1389,2516 ARIZONA DR,MARRERO,LA,70072,AE,nan,-90.1056563621879,29.84670822035838,arcgis
1390,1440 DOGWOOD DR,HARVEY,LA,70058,AE,nan,-90.06681889764354,29.888705033757113,arcgis
1391,137 JOHN ST,FRANKLIN,LA,70538,AE,nan,-91.39584810072365,29.7517370245195,arcgis
1392,5800 COUBRA ST,MARRERO,LA,70072,AE,nan,-90.11208855086569,29.86264720552728,arcgis
1395,270 KING JOHN PL,BATON ROUGE,LA,70815,AE,nan,-91.04384437717677,30.45902971665329,arcgis
1396,3633 E LOYOLA DR,KENNER,LA,70065,AE,nan,-90.26513908536418,30.026863147517144,arcgis
1397,119 LA RUE ROUGE,SCOTT,LA,70583,AE,nan,-92.09842916330601,30.254844921421,arcgis
1398,88 W CLAIBORNE SQ,CHALMETTE,LA,70043,AE,nan,-89.9802073510272,29.95076401622537,arcgis
1399,2272 NORTHBROOK DR,GRETNA,LA,70056,AE,nan,-90.01961243805458,29.8902941168706,arcgis
1400,401 N COLLEGE ST W,DENHAM SPRINGS,LA,70726,AE,nan,-90.95924809154089,30.489426143695376,arcgis
1401,1947 BENJAMIN ST,ARABI,LA,70032,AE,nan,-89.99362090320592,29.970261496939404,arcgis
1403,1119 EARLINE DR,BREAUX BRIDGE,LA,70517,AE,nan,-91.9177570249502,30.317985043077766,arcgis
1404,408 WESTMEADE DR,GRETNA,LA,70056,AE,nan,-90.03836007324907,29.88477689674347,arcgis
1406,2317 S VILLAGE GREEN ST,HARVEY,LA,70058,AE,nan,-90.05713126159141,29.856647900238976,arcgis
1407,3817 REDBUD LANE,HARVEY,LA,70058,AE,nan,-90.07489201150597,29.858629591697145,arcgis
1408,5936-5938 BABYLON ST,NEW ORLEANS,LA,70126,AE,nan,-90.0211561331624,30.02007787116803,arcgis
1409,2516 MESA DR,MARRERO,LA,70072,AE,nan,-90.1053712936609,29.843036192396244,arcgis
1410,17237 JO BOY RD,PRAIRIEVILLE,LA,70769,AE,nan,-90.91298778118245,30.320355110019605,arcgis
1413,2257 HAMPTON DR,HARVEY,LA,70058,AE,nan,-90.0568805588674,29.86256481141899,arcgis
1414,32443 LAKE POINT BLVD,DENHAM SPRINGS,LA,70726,AE,nan,-90.90919924476616,30.53786943691686,arcgis
1415,5156 HIGHLAND DR,MARRERO,LA,70072,AE,nan,-90.10449530096002,29.866478154373613,arcgis
1416,710 WEST DR,WESTWEGO,LA,70094,AE,nan,-90.13781294698728,29.901756201825016,arcgis
1418,210 DOUGLAS DR,RIVER RIDGE,LA,70123,AE,nan,-90.21498429133327,29.95388028209747,arcgis
1419,401 GERRIE CT,WESTWEGO,LA,70094,AE,nan,-90.19944977490209,29.914633361582958,arcgis
1424,620 N AVENUE K,CROWLEY,LA,70526,AE,nan,-92.36895990202612,30.21820917270068,arcgis
1426,241 SHADOWBRUSH BND,LAFAYETTE,LA,70506,A,nan,-92.10337443840848,30.150526310387274,arcgis
1427,4767 LONGFELLOW DR,NEW ORLEANS,LA,70127,AE,nan,-89.97841580304238,30.022026286470716,arcgis
1428,1074 B SAINT RITA HWY,SAINT MARTINVILLE,LA,70582,AE,nan,-91.70705928081037,30.219217348014585,arcgis
1429,920 N 3RD ST,EUNICE,LA,70535,AE,FLOODWAY,-92.41746815499724,30.502669257345914,arcgis
1430,1719 JACOB RD,EUNICE,LA,70535,A,nan,-92.48304556705199,30.480339364372266,arcgis
1431,13198 HAZLEWOOD DR,DENHAM SPRINGS,LA,70726,AE,nan,-90.86473618208652,30.44071462957216,arcgis
1434,1119 S HEMPSHIRE AVE,GONZALES,LA,70737,AE,nan,-90.9270017365586,30.22396833646296,arcgis
1439,2533 CARRIE LN,MARRERO,LA,70072,AE,nan,-90.10531102777705,29.83551783479538,arcgis
1443,6218-6220 CURRAN BLVD,NEW ORLEANS,LA,70126,AE,nan,-90.02091171686578,30.030983649208622,arcgis
1444,1011 DON AVE,DENHAM SPRINGS,LA,70726,AE,nan,-90.96036782998613,30.474003735219156,arcgis
1446,17140 HIGHWAY 933,PRAIRIEVILLE,LA,70769,AE,nan,-90.87718020699779,30.317743015623503,arcgis
1447,3016 MALVERN ST,BOSSIER CITY,LA,71111,AE,nan,-93.70336006102305,32.53499202082629,arcgis
1448,3015 MALVERN ST,BOSSIER CITY,LA,71111,AE,nan,-93.70336718564083,32.53508447321837,arcgis
1450,2812 WISTERIA ST,SHREVEPORT,LA,71108,AE,nan,-93.8025697757502,32.43228747157037,arcgis
1451,1037 GLORIA KERN DR,BREAUX BRIDGE,LA,70517,A,nan,-91.88244124098863,30.247547770171728,arcgis
1453,1328 ANITA ST,BOSSIER CITY,LA,71112,AH,nan,-93.68853163611536,32.50825668336276,arcgis
1456,108 LANCASHIRE DR,BOSSIER CITY,LA,71111,AE,nan,-93.7277120043187,32.574821441702056,arcgis
1461,3636 GREENACRES PLACE DR #12,BOSSIER CITY,LA,71111,AE,nan,-93.72675013882863,32.56645427497458,arcgis
1463,1622 DILG LEAGUE DR,SHREVEPORT,LA,71109,AE,nan,-93.80599839324415,32.49083644826468,arcgis
1464,2516 TILMAN DR,BOSSIER CITY,LA,71111,AE,nan,-93.71353636203034,32.55074522111128,arcgis
1465,4313 CLINGMAN DR,SHREVEPORT,LA,71105,AH,nan,-93.7234574340858,32.461359767458106,arcgis
1466,2617 NORTHSIDE DR,BOSSIER CITY,LA,71111,AE,nan,-93.71124399533088,32.53843748594565,arcgis
1469,2907 REBEL DR,BOSSIER CITY,LA,71111,AE,nan,-93.70464291130412,32.53682790907884,arcgis
1470,4603 DONNIE AVE,BOSSIER CITY,LA,71111,AE,nan,-93.67330741773979,32.54164352200075,arcgis
1471,9422 E MONTEGO LN,SHREVEPORT,LA,71118,AE,nan,-93.82922238382946,32.38898211735719,arcgis
1472,115 CLEVE HEYL RD,CAMPTI,LA,71411,A,nan,-93.04508755984081,31.94146549798632,arcgis
1473,2607 NORTHSIDE DR,BOSSIER CITY,LA,71111,AE,nan,-93.71231402909025,32.53843752785516,arcgis
1474,128 E GREGG ST,SHREVEPORT,LA,71104,AH,nan,-93.73207973024438,32.47094753313392,arcgis
1475,3318 WARWICK DR,SHREVEPORT,LA,71118,AE,nan,-93.82417991469809,32.38485750853317,arcgis
1477,2102 VENUS DR,BOSSIER CITY,LA,71112,AE,nan,-93.65720326716885,32.47355241909321,arcgis
1479,169 KAYLA ST,SHREVEPORT,LA,71105,AH,nan,-93.71692038779935,32.454712499144755,arcgis
1480,2521 ASHLAND AVE,BOSSIER CITY,LA,71111,AE,nan,-93.71259323028502,32.545100512236914,arcgis
1481,3208 IMPALA DR,BOSSIER CITY,LA,71112,AH,nan,-93.69146580514101,32.512669923022656,arcgis
1482,443 TOWN SOUTH DR,SHREVEPORT,LA,71115,AE,nan,-93.70519770947529,32.41744689290284,arcgis
1484,3636 GREENACRES PLACE DR #10,BOSSIER CITY,LA,71111,AE,nan,-93.72675013882863,32.56645427497458,arcgis
1485,3857 GREENWAY PL,SHREVEPORT,LA,71105,AH,nan,-93.73267543210305,32.46746279879814,arcgis
1488,1966 WILD IRIS,BOSSIER CITY,LA,71112,AE,nan,-93.65844202863913,32.465545228899195,arcgis
1490,9505 & 94 LEVEE ROAD 1,OIL CITY,LA,71061,AE,nan,-93.98444902803024,32.776351982157834,arcgis
1503,348 WINTER QUARTERS,POCOMOKE,MD,21851,AE,nan,-75.56002714464435,38.083955295422996,arcgis
1504,8494 R MADDOX RD,MANOKIN,MD,21836,AE,nan,-75.75620776776056,38.114898935013905,arcgis
1512,1310 HUDSON RD,CAMBRIDGE,MD,21613,AE,nan,-76.20908543290984,38.596787372882034,arcgis
1513,157 N CONOCOCHEAGUE ST,WILLIAMSPORT,MD,21795,AE,nan,-77.82133445042243,39.60238168928885,arcgis
1514,27026 MOUNT VERNON RD.,PRINCESS ANNE,MD,21853,AE,nan,-75.81493213577892,38.246125131028826,arcgis
1516,7010 OLD PRYOR RD,THURMONT,MD,21788,AE,nan,-77.42393425545836,39.60683055203732,arcgis
1521,11317 RIVERTON RD,MARDELA SPRINGS,MD,21837,AE,nan,-75.75781089056173,38.50519668241279,arcgis
1523,8023 HOLLY AVE,WALDORF,MD,20601,AE,nan,-76.86703205894074,38.65782682255737,arcgis
1524,300 ROBIN DR,OCEAN CITY,MD,21842,AE,nan,-75.07648244270888,38.357476828786346,arcgis
1527,17494 RIVER DRIVE,PINEY POINT,MD,20674,AE,nan,-76.50842968211899,38.148479395615155,arcgis
1528,8211 NORTHVIEW RD,BALTIMORE,MD,21222,AE,nan,-76.49937638849923,39.24722096382042,arcgis
1530,12423 SALISBURY RD,OCEAN CITY,MD,21842,AE,nan,-75.12306721653931,38.35202741825589,arcgis
1535,20635 GODDARD RD,GREAT MILLS,MD,20634,AE,nan,-76.49366722278934,38.232590075690545,arcgis
1538,1446 TRAFALGAR LANE,FREDERICK,MD,21701,AE,nan,-77.37996639561835,39.447997510176116,arcgis
1540,21003 ROCK HALL AVE,ROCK HALL,MD,21661,AE,nan,-76.24490700487277,39.1394164874867,arcgis
1541,101 BISHOP AVENUE,BALTIMORE,MD,21225,AE,nan,-76.63702878013115,39.22010307629595,arcgis
1543,5465 MOORES RUN DR,BALTIMORE,MD,21206,AE,nan,-76.53524523439592,39.332513995157804,arcgis
1544,14312 MARLBOROUGH LANE,UPPER MARLBORO,MD,20772,AE,nan,-76.75850745139574,38.81982780472367,arcgis
1545,3833 HAMILTON ST #301,HYATTSVILLE,MD,20781,AE,nan,-76.9532529250501,38.95187488242607,arcgis
1546,7517 GREENLEAF RD,HYATTSVILLE,MD,20785,A,nan,-76.87664811353974,38.92001438835638,arcgis
1548,644 MAURY AVE,OXON HILL,MD,20745,AE,nan,-76.99834203207789,38.8229990977901,arcgis
1549,14 TERNE RD,QUINCY,MA,2169,AE,nan,-70.98499957052292,42.2629337954628,arcgis
1550,67 NORTH END BOULEV 03,SALISBURY,MA,1952,AE,nan,-70.81851871256647,42.84563704060653,arcgis
1551,9247 GREENWOOD LN,LANHAM,MD,20706,AE,nan,-76.85291299449881,38.96590694271302,arcgis
1556,414 PINE ST,LEICESTER,MA,1524,A,nan,-71.92898207899601,42.22283397439068,arcgis
1559,555 RUSSELL RD UNIT D-22,WESTFIELD,MA,1085,AE,FLOODWAY,-72.78900339863682,42.13362160703801,arcgis
1560,112 CITY VIEW ROAD,WESTFIELD,MA,1085,AE,nan,-72.7746768820913,42.111537094279896,arcgis
1564,219 ASHLAND ST,DETROIT,MI,48215,AE,nan,-82.93239344979285,42.362717335281275,arcgis
1565,130 N ROESSLER,MONROE,MI,48162,AE,nan,-83.40742498794911,41.923430339397555,arcgis
1567,222 GODFROY AVE,MONROE,MI,48162,AE,nan,-83.39890034096261,41.92165911752806,arcgis
1568,33797 W JEFFERSON AVE,BROWNSTOWN,MI,48173,AE,nan,-83.21311897747808,42.06248343086907,arcgis
1570,24352 ORANGELAWN,REDFORD,MI,48239,AE,nan,-83.27882966179347,42.367762905716816,arcgis
1571,13430 IVY ST,GIBRALTAR,MI,48173,AE,nan,-83.18961268439405,42.084263470994486,arcgis
1573,690 ASHLAND ST 02,DETROIT,MI,48215,AE,nan,-82.93799574623718,42.371314276182744,arcgis
1575,237 CHALMERS ST,DETROIT,MI,48215,AE,nan,-82.93715126949235,42.361591436137225,arcgis
1576,5612 HIPP ST,DEARBORN HEIGHTS,MI,48125,AE,nan,-83.23849693816368,42.27134932099141,arcgis
1577,29415 VAN RIPER ST,FLAT ROCK,MI,48134,AE,nan,-83.28397162411541,42.09149428740679,arcgis
1578,307 N. ROESSLER ST,MONROE,MI,48162,AE,nan,-83.40692903073831,41.92444840535732,arcgis
1579,12275 N SHORES BLVD,LA SALLE,MI,48145,AE,COASTAL FLOODPLAIN,-83.40843081633028,41.837448902352506,arcgis
1583,704 BAY ROAD,BAY CITY,MI,48706,AE,nan,-83.86882621043776,43.65136726463738,arcgis
1592,210 DIANA ST,EATON RAPIDS,MI,48827,AE,nan,-84.65188699059742,42.514602491871685,arcgis
1593,2617 E COURT ST,FLINT,MI,48503,AE,FLOODWAY,-83.65618797189379,43.01844749274597,arcgis
1594,2165 MILLER DR,WEIDMAN,MI,48893,AE,nan,-84.9669379205289,43.67258856709702,arcgis
1596,525 E THORN ST,HASTINGS,MI,49058,A,nan,-85.28121134512183,42.65153747641092,arcgis
1605,2121 N SHEPARDSVILLE ROAD,OVID,MI,48866,A,nan,-84.42583728787793,43.015869428876705,arcgis
1606,2144 GILBERT RD,LANSING,MI,48911,AE,FLOODWAY,-84.59221144420655,42.64415540855572,arcgis
1611,714 S HAYFORD AVE,LANSING,MI,48912,AE,nan,-84.51894439035983,42.72503813389923,arcgis
1612,10971 BLUEWATER HWY,LOWELL,MI,49331,A,nan,-85.29166047707743,42.93687246410961,arcgis
1615,4552 HURON STREET,NEWPORT,MI,48166,AE,COASTAL FLOODPLAIN,-83.26386067236947,41.94482619499081,arcgis
1616,5148 PLUM CREEK DR,MONROE,MI,48161,AE,nan,-83.43190685074399,41.90583773046078,arcgis
1618,6149 CARLETON ROCKWOOD,SOUTH ROCKWOOD,MI,48179,AE,nan,-83.26216266642427,42.062822185486134,arcgis
1622,29601 KING RD,ROMULUS,MI,48174,A,nan,-83.32856566954132,42.15205125449039,arcgis
1629,4977 OAK LEAF DR,JACKSON,MS,39212,AE,nan,-90.30414913329489,32.2556451485751,arcgis
1631,354 RICE ST S,HENDRUM,MN,56550,AE,nan,-96.80829725152999,47.26146670061876,arcgis
1632,3721 OAK AVE,GULFPORT,MS,39507,AE,nan,-89.05399732713313,30.396559098920108,arcgis
1633,301 CR 65,SWIFTOWN,MS,38959,A,nan,-90.41391468160504,33.31646723827187,arcgis
1641,126 WILLIAM MCKINLEY CIR,JACKSON,MS,39209,AE,nan,-90.26281855546998,32.36605208011622,arcgis
1643,205 JACKSON AVE,YAZOO CITY,MS,39194,AE,nan,-90.40568675399096,32.851955826791,arcgis
1644,224 OAK PARK DR,PEARL,MS,39208,AE,nan,-90.13318378950149,32.269637143364946,arcgis
1645,302 LONGVIEW ST,VICKSBURG,MS,39180,AE,nan,-90.88439694181291,32.30178459188989,arcgis
1646,8905 GRAHAM RD.,MOSS POINT,MS,39562,AE,nan,-88.54943785283227,30.470610698904164,arcgis
1647,4322 NANCY ST,PEARL,MS,39208,A,nan,-90.08571832910442,32.28851335695409,arcgis
1648,3444 CASA GRANDE CIRCLE,JACKSON,MS,39209,AE,nan,-90.23196611098571,32.30984253450752,arcgis
1651,892 QUINCE ST,WEST POINT,MS,39773,AE,nan,-88.65266300209457,33.6182799998756,arcgis
1652,864 W FULTON ST,CANTON,MS,39046,AE,nan,-90.0483458535971,32.611198691935904,arcgis
1653,68 OAK POINT ROAD,PICAYUNE,MS,39466,AE,nan,-89.79431543023996,30.56623664710969,arcgis
1656,10891 WOODS RD,MERIDIAN,MS,39305,AE,nan,-88.81281108074583,32.43332192415043,arcgis
1657,1922 SKY FARM AVE,VICKSBURG,MS,39183,AE,nan,-90.85953395388067,32.36299293691429,arcgis
1659,5858 KINDER DR,JACKSON,MS,39211,AE,nan,-90.1171617815817,32.380764206117405,arcgis
1661,2113 SANDALWOOD PLACE,GAUTIER,MS,39553,AE,nan,-88.6215829889391,30.372370979922028,arcgis
1664,1701 TWIN OAKS DR,CLINTON,MS,39056,A,nan,-90.29802539865395,32.34880497322831,arcgis
1666,3113 WASHINGTON ST,BAY SAINT LOUIS,MS,39520,AE,nan,-89.3789871825739,30.319891381226387,arcgis
1667,3874 HWY 8 WEST,HOLCOMB,MS,38940,AE,nan,-90.06846644453171,33.77545702912643,arcgis
1669,12125 ESSEX PLACE,GULFPORT,MS,39503,AE,nan,-89.08941220915386,30.460136253601036,arcgis
1673,110 SOUTH STREET,LOUISVILLE,MS,39339,AE,nan,-89.0671072942517,33.11817257344638,arcgis
1675,302 HILLCREST LOOP,PETAL,MS,39465,AE,nan,-89.25965855329274,31.334605920749922,arcgis
1680,2074 FOX HILL LANE,BYRAM,MS,39272,AE,nan,-90.2470159019562,32.19170321346808,arcgis
1681,118 BARBARA CIRCLE,OCEAN SPRINGS,MS,39564,AE,nan,-88.78722934461538,30.403253724986282,arcgis
1686,4954 BROOKWOOD PL,JACKSON,MS,39272,AE,nan,-90.26927102835347,32.211384844133384,arcgis
1687,268 YORKVILLE RD W,COLUMBUS,MS,39702,AE,nan,-88.39896911214991,33.47770638925853,arcgis
1689,242 VILLAGE COVE,PEARL,MS,39208,AE,nan,-90.04291253632064,32.26773101476381,arcgis
1690,3217 NEW YORK AVE,PASCAGOULA,MS,39581,AE,nan,-88.52874997469073,30.371317458511992,arcgis
